"","Package","LibPath","Version","Priority","Built"
"1","abind","\\unityfs01/fsusers$/MHogel/My Documents/R/win-library/3.6","1.4-5",NA,"3.6.0"
"2","ape","\\unityfs01/fsusers$/MHogel/My Documents/R/win-library/3.6","5.3",NA,"3.6.1"
"3","askpass","\\unityfs01/fsusers$/MHogel/My Documents/R/win-library/3.6","1.1",NA,"3.6.0"
"4","assertthat","\\unityfs01/fsusers$/MHogel/My Documents/R/win-library/3.6","0.2.1",NA,"3.6.0"
"5","backports","\\unityfs01/fsusers$/MHogel/My Documents/R/win-library/3.6","1.1.4",NA,"3.6.0"
"6","BAMMtools","\\unityfs01/fsusers$/MHogel/My Documents/R/win-library/3.6","2.1.6",NA,"3.6.1"
"7","base64enc","\\unityfs01/fsusers$/MHogel/My Documents/R/win-library/3.6","0.1-3",NA,"3.6.0"
"8","BH","\\unityfs01/fsusers$/MHogel/My Documents/R/win-library/3.6","1.69.0-1",NA,"3.6.0"
"9","bitops","\\unityfs01/fsusers$/MHogel/My Documents/R/win-library/3.6","1.0-6",NA,"3.6.0"
"10","broom","\\unityfs01/fsusers$/MHogel/My Documents/R/win-library/3.6","0.5.2",NA,"3.6.0"
"11","callr","\\unityfs01/fsusers$/MHogel/My Documents/R/win-library/3.6","3.2.0",NA,"3.6.0"
"12","caret","\\unityfs01/fsusers$/MHogel/My Documents/R/win-library/3.6","6.0-84",NA,"3.6.0"
"13","caTools","\\unityfs01/fsusers$/MHogel/My Documents/R/win-library/3.6","1.17.1.2",NA,"3.6.0"
"14","cdata","\\unityfs01/fsusers$/MHogel/My Documents/R/win-library/3.6","1.1.0",NA,"3.6.0"
"15","cellranger","\\unityfs01/fsusers$/MHogel/My Documents/R/win-library/3.6","1.1.0",NA,"3.6.0"
"16","circlize","\\unityfs01/fsusers$/MHogel/My Documents/R/win-library/3.6","0.4.6",NA,"3.6.0"
"17","cli","\\unityfs01/fsusers$/MHogel/My Documents/R/win-library/3.6","1.1.0",NA,"3.6.0"
"18","clipr","\\unityfs01/fsusers$/MHogel/My Documents/R/win-library/3.6","0.6.0",NA,"3.6.0"
"19","clisymbols","\\unityfs01/fsusers$/MHogel/My Documents/R/win-library/3.6","1.2.0",NA,"3.6.2"
"20","colorspace","\\unityfs01/fsusers$/MHogel/My Documents/R/win-library/3.6","1.4-1",NA,"3.6.0"
"21","cowplot","\\unityfs01/fsusers$/MHogel/My Documents/R/win-library/3.6","1.0.0",NA,"3.6.1"
"22","crayon","\\unityfs01/fsusers$/MHogel/My Documents/R/win-library/3.6","1.3.4",NA,"3.6.0"
"23","crosstalk","\\unityfs01/fsusers$/MHogel/My Documents/R/win-library/3.6","1.0.0",NA,"3.6.0"
"24","curl","\\unityfs01/fsusers$/MHogel/My Documents/R/win-library/3.6","3.3",NA,"3.6.0"
"25","data.table","\\unityfs01/fsusers$/MHogel/My Documents/R/win-library/3.6","1.12.2",NA,"3.6.0"
"26","DBI","\\unityfs01/fsusers$/MHogel/My Documents/R/win-library/3.6","1.0.0",NA,"3.6.0"
"27","dbplyr","\\unityfs01/fsusers$/MHogel/My Documents/R/win-library/3.6","1.4.0",NA,"3.6.0"
"28","desc","\\unityfs01/fsusers$/MHogel/My Documents/R/win-library/3.6","1.2.0",NA,"3.6.2"
"29","digest","\\unityfs01/fsusers$/MHogel/My Documents/R/win-library/3.6","0.6.19",NA,"3.6.0"
"30","DMwR","\\unityfs01/fsusers$/MHogel/My Documents/R/win-library/3.6","0.4.1",NA,"3.6.0"
"31","dotCall64","\\unityfs01/fsusers$/MHogel/My Documents/R/win-library/3.6","1.0-0",NA,"3.6.0"
"32","dplyr","\\unityfs01/fsusers$/MHogel/My Documents/R/win-library/3.6","0.8.3",NA,"3.6.1"
"33","DT","\\unityfs01/fsusers$/MHogel/My Documents/R/win-library/3.6","0.6",NA,"3.6.0"
"34","e1071","\\unityfs01/fsusers$/MHogel/My Documents/R/win-library/3.6","1.7-1",NA,"3.6.0"
"35","ellipsis","\\unityfs01/fsusers$/MHogel/My Documents/R/win-library/3.6","0.3.0",NA,"3.6.1"
"36","EMCluster","\\unityfs01/fsusers$/MHogel/My Documents/R/win-library/3.6","0.2-12",NA,"3.6.1"
"37","evaluate","\\unityfs01/fsusers$/MHogel/My Documents/R/win-library/3.6","0.13",NA,"3.6.0"
"38","fansi","\\unityfs01/fsusers$/MHogel/My Documents/R/win-library/3.6","0.4.0",NA,"3.6.0"
"39","fields","\\unityfs01/fsusers$/MHogel/My Documents/R/win-library/3.6","9.8-1",NA,"3.6.0"
"40","forcats","\\unityfs01/fsusers$/MHogel/My Documents/R/win-library/3.6","0.4.0",NA,"3.6.0"
"41","foreach","\\unityfs01/fsusers$/MHogel/My Documents/R/win-library/3.6","1.4.4",NA,"3.6.0"
"42","formattable","\\unityfs01/fsusers$/MHogel/My Documents/R/win-library/3.6","0.2.0.1",NA,"3.6.0"
"43","fs","\\unityfs01/fsusers$/MHogel/My Documents/R/win-library/3.6","1.3.1",NA,"3.6.0"
"44","gdata","\\unityfs01/fsusers$/MHogel/My Documents/R/win-library/3.6","2.18.0",NA,"3.6.0"
"45","generics","\\unityfs01/fsusers$/MHogel/My Documents/R/win-library/3.6","0.0.2",NA,"3.6.0"
"46","ggplot2","\\unityfs01/fsusers$/MHogel/My Documents/R/win-library/3.6","3.1.1",NA,"3.6.0"
"47","ggvis","\\unityfs01/fsusers$/MHogel/My Documents/R/win-library/3.6","0.4.4",NA,"3.6.1"
"48","gh","\\unityfs01/fsusers$/MHogel/My Documents/R/win-library/3.6","1.0.1",NA,"3.6.2"
"49","git2r","\\unityfs01/fsusers$/MHogel/My Documents/R/win-library/3.6","0.26.1",NA,"3.6.2"
"50","glmnet","\\unityfs01/fsusers$/MHogel/My Documents/R/win-library/3.6","2.0-18",NA,"3.6.0"
"51","GlobalOptions","\\unityfs01/fsusers$/MHogel/My Documents/R/win-library/3.6","0.1.0",NA,"3.6.0"
"52","glue","\\unityfs01/fsusers$/MHogel/My Documents/R/win-library/3.6","1.3.1",NA,"3.6.0"
"53","gower","\\unityfs01/fsusers$/MHogel/My Documents/R/win-library/3.6","0.2.1",NA,"3.6.0"
"54","gplots","\\unityfs01/fsusers$/MHogel/My Documents/R/win-library/3.6","3.0.1.1",NA,"3.6.0"
"55","gridExtra","\\unityfs01/fsusers$/MHogel/My Documents/R/win-library/3.6","2.3",NA,"3.6.0"
"56","gtable","\\unityfs01/fsusers$/MHogel/My Documents/R/win-library/3.6","0.3.0",NA,"3.6.0"
"57","gtools","\\unityfs01/fsusers$/MHogel/My Documents/R/win-library/3.6","3.8.1",NA,"3.6.0"
"58","haven","\\unityfs01/fsusers$/MHogel/My Documents/R/win-library/3.6","2.1.0",NA,"3.6.0"
"59","here","\\unityfs01/fsusers$/MHogel/My Documents/R/win-library/3.6","0.1",NA,"3.6.2"
"60","highr","\\unityfs01/fsusers$/MHogel/My Documents/R/win-library/3.6","0.8",NA,"3.6.0"
"61","hms","\\unityfs01/fsusers$/MHogel/My Documents/R/win-library/3.6","0.4.2",NA,"3.6.0"
"62","htmltools","\\unityfs01/fsusers$/MHogel/My Documents/R/win-library/3.6","0.3.6",NA,"3.6.0"
"63","htmlwidgets","\\unityfs01/fsusers$/MHogel/My Documents/R/win-library/3.6","1.3",NA,"3.6.0"
"64","httpuv","\\unityfs01/fsusers$/MHogel/My Documents/R/win-library/3.6","1.5.1",NA,"3.6.0"
"65","httr","\\unityfs01/fsusers$/MHogel/My Documents/R/win-library/3.6","1.4.0",NA,"3.6.0"
"66","ini","\\unityfs01/fsusers$/MHogel/My Documents/R/win-library/3.6","0.3.1",NA,"3.6.2"
"67","installr","\\unityfs01/fsusers$/MHogel/My Documents/R/win-library/3.6","0.21.0",NA,"3.6.0"
"68","ipred","\\unityfs01/fsusers$/MHogel/My Documents/R/win-library/3.6","0.9-9",NA,"3.6.0"
"69","iterators","\\unityfs01/fsusers$/MHogel/My Documents/R/win-library/3.6","1.0.10",NA,"3.6.0"
"70","jsonlite","\\unityfs01/fsusers$/MHogel/My Documents/R/win-library/3.6","1.6",NA,"3.6.2"
"71","kableExtra","\\unityfs01/fsusers$/MHogel/My Documents/R/win-library/3.6","1.1.0",NA,"3.6.0"
"72","knitr","\\unityfs01/fsusers$/MHogel/My Documents/R/win-library/3.6","1.23",NA,"3.6.0"
"73","labeling","\\unityfs01/fsusers$/MHogel/My Documents/R/win-library/3.6","0.3",NA,"3.6.0"
"74","later","\\unityfs01/fsusers$/MHogel/My Documents/R/win-library/3.6","0.8.0",NA,"3.6.0"
"75","lava","\\unityfs01/fsusers$/MHogel/My Documents/R/win-library/3.6","1.6.5",NA,"3.6.0"
"76","lazyeval","\\unityfs01/fsusers$/MHogel/My Documents/R/win-library/3.6","0.2.2",NA,"3.6.0"
"77","LCFdata","\\unityfs01/fsusers$/MHogel/My Documents/R/win-library/3.6","2.0",NA,"3.6.0"
"78","lifecycle","\\unityfs01/fsusers$/MHogel/My Documents/R/win-library/3.6","0.1.0",NA,"3.6.1"
"79","lme4","\\unityfs01/fsusers$/MHogel/My Documents/R/win-library/3.6","1.1-21",NA,"3.6.0"
"80","LMERConvenienceFunctions","\\unityfs01/fsusers$/MHogel/My Documents/R/win-library/3.6","2.10",NA,"3.6.0"
"81","lubridate","\\unityfs01/fsusers$/MHogel/My Documents/R/win-library/3.6","1.7.4",NA,"3.6.0"
"82","magick","\\unityfs01/fsusers$/MHogel/My Documents/R/win-library/3.6","2.1",NA,"3.6.1"
"83","magrittr","\\unityfs01/fsusers$/MHogel/My Documents/R/win-library/3.6","1.5",NA,"3.6.0"
"84","manipulateWidget","\\unityfs01/fsusers$/MHogel/My Documents/R/win-library/3.6","0.10.0",NA,"3.6.0"
"85","maps","\\unityfs01/fsusers$/MHogel/My Documents/R/win-library/3.6","3.3.0",NA,"3.6.0"
"86","markdown","\\unityfs01/fsusers$/MHogel/My Documents/R/win-library/3.6","1.0",NA,"3.6.0"
"87","mime","\\unityfs01/fsusers$/MHogel/My Documents/R/win-library/3.6","0.6",NA,"3.6.0"
"88","miniUI","\\unityfs01/fsusers$/MHogel/My Documents/R/win-library/3.6","0.1.1.1",NA,"3.6.0"
"89","minqa","\\unityfs01/fsusers$/MHogel/My Documents/R/win-library/3.6","1.2.4",NA,"3.6.0"
"90","ModelMetrics","\\unityfs01/fsusers$/MHogel/My Documents/R/win-library/3.6","1.2.2",NA,"3.6.0"
"91","modelr","\\unityfs01/fsusers$/MHogel/My Documents/R/win-library/3.6","0.1.4",NA,"3.6.0"
"92","multcomp","\\unityfs01/fsusers$/MHogel/My Documents/R/win-library/3.6","1.4-10",NA,"3.6.1"
"93","munsell","\\unityfs01/fsusers$/MHogel/My Documents/R/win-library/3.6","0.5.0",NA,"3.6.0"
"94","mvtnorm","\\unityfs01/fsusers$/MHogel/My Documents/R/win-library/3.6","1.0-11",NA,"3.6.0"
"95","nloptr","\\unityfs01/fsusers$/MHogel/My Documents/R/win-library/3.6","1.2.1",NA,"3.6.0"
"96","numDeriv","\\unityfs01/fsusers$/MHogel/My Documents/R/win-library/3.6","2016.8-1",NA,"3.6.0"
"97","openssl","\\unityfs01/fsusers$/MHogel/My Documents/R/win-library/3.6","1.3",NA,"3.6.0"
"98","openxlsx","\\unityfs01/fsusers$/MHogel/My Documents/R/win-library/3.6","4.1.0",NA,"3.6.0"
"99","pillar","\\unityfs01/fsusers$/MHogel/My Documents/R/win-library/3.6","1.4.0",NA,"3.6.0"
"100","pkgconfig","\\unityfs01/fsusers$/MHogel/My Documents/R/win-library/3.6","2.0.2",NA,"3.6.0"
"101","plogr","\\unityfs01/fsusers$/MHogel/My Documents/R/win-library/3.6","0.2.0",NA,"3.6.1"
"102","plyr","\\unityfs01/fsusers$/MHogel/My Documents/R/win-library/3.6","1.8.4",NA,"3.6.0"
"103","prettyunits","\\unityfs01/fsusers$/MHogel/My Documents/R/win-library/3.6","1.0.2",NA,"3.6.0"
"104","processx","\\unityfs01/fsusers$/MHogel/My Documents/R/win-library/3.6","3.3.1",NA,"3.6.0"
"105","prodlim","\\unityfs01/fsusers$/MHogel/My Documents/R/win-library/3.6","2018.04.18",NA,"3.6.0"
"106","progress","\\unityfs01/fsusers$/MHogel/My Documents/R/win-library/3.6","1.2.2",NA,"3.6.0"
"107","promises","\\unityfs01/fsusers$/MHogel/My Documents/R/win-library/3.6","1.0.1",NA,"3.6.0"
"108","ps","\\unityfs01/fsusers$/MHogel/My Documents/R/win-library/3.6","1.3.0",NA,"3.6.0"
"109","purrr","\\unityfs01/fsusers$/MHogel/My Documents/R/win-library/3.6","0.3.2",NA,"3.6.0"
"110","quantmod","\\unityfs01/fsusers$/MHogel/My Documents/R/win-library/3.6","0.4-14",NA,"3.6.0"
"111","R6","\\unityfs01/fsusers$/MHogel/My Documents/R/win-library/3.6","2.4.0",NA,"3.6.0"
"112","randomForest","\\unityfs01/fsusers$/MHogel/My Documents/R/win-library/3.6","4.6-14",NA,"3.6.0"
"113","ranger","\\unityfs01/fsusers$/MHogel/My Documents/R/win-library/3.6","0.11.2",NA,"3.6.0"
"114","RColorBrewer","\\unityfs01/fsusers$/MHogel/My Documents/R/win-library/3.6","1.1-2",NA,"3.6.0"
"115","Rcpp","\\unityfs01/fsusers$/MHogel/My Documents/R/win-library/3.6","1.0.1",NA,"3.6.0"
"116","RcppEigen","\\unityfs01/fsusers$/MHogel/My Documents/R/win-library/3.6","0.3.3.5.0",NA,"3.6.0"
"117","RcppRoll","\\unityfs01/fsusers$/MHogel/My Documents/R/win-library/3.6","0.3.0",NA,"3.6.0"
"118","readr","\\unityfs01/fsusers$/MHogel/My Documents/R/win-library/3.6","1.3.1",NA,"3.6.0"
"119","readxl","\\unityfs01/fsusers$/MHogel/My Documents/R/win-library/3.6","1.3.1",NA,"3.6.0"
"120","recipes","\\unityfs01/fsusers$/MHogel/My Documents/R/win-library/3.6","0.1.5",NA,"3.6.0"
"121","rematch","\\unityfs01/fsusers$/MHogel/My Documents/R/win-library/3.6","1.0.1",NA,"3.6.0"
"122","reprex","\\unityfs01/fsusers$/MHogel/My Documents/R/win-library/3.6","0.3.0",NA,"3.6.0"
"123","reshape2","\\unityfs01/fsusers$/MHogel/My Documents/R/win-library/3.6","1.4.3",NA,"3.6.0"
"124","rgl","\\unityfs01/fsusers$/MHogel/My Documents/R/win-library/3.6","0.100.19",NA,"3.6.0"
"125","rjson","\\unityfs01/fsusers$/MHogel/My Documents/R/win-library/3.6","0.2.20",NA,"3.6.0"
"126","rlang","\\unityfs01/fsusers$/MHogel/My Documents/R/win-library/3.6","0.4.0",NA,"3.6.1"
"127","rmarkdown","\\unityfs01/fsusers$/MHogel/My Documents/R/win-library/3.6","1.12",NA,"3.6.0"
"128","ROCR","\\unityfs01/fsusers$/MHogel/My Documents/R/win-library/3.6","1.0-7",NA,"3.6.0"
"129","rpart.plot","\\unityfs01/fsusers$/MHogel/My Documents/R/win-library/3.6","3.0.7",NA,"3.6.0"
"130","rprojroot","\\unityfs01/fsusers$/MHogel/My Documents/R/win-library/3.6","1.3-2",NA,"3.6.0"
"131","rquery","\\unityfs01/fsusers$/MHogel/My Documents/R/win-library/3.6","1.3.2",NA,"3.6.0"
"132","rstudioapi","\\unityfs01/fsusers$/MHogel/My Documents/R/win-library/3.6","0.10",NA,"3.6.0"
"133","rvest","\\unityfs01/fsusers$/MHogel/My Documents/R/win-library/3.6","0.3.4",NA,"3.6.0"
"134","sandwich","\\unityfs01/fsusers$/MHogel/My Documents/R/win-library/3.6","2.5-1",NA,"3.6.1"
"135","scales","\\unityfs01/fsusers$/MHogel/My Documents/R/win-library/3.6","1.0.0",NA,"3.6.1"
"136","selectr","\\unityfs01/fsusers$/MHogel/My Documents/R/win-library/3.6","0.4-1",NA,"3.6.0"
"137","shape","\\unityfs01/fsusers$/MHogel/My Documents/R/win-library/3.6","1.4.4",NA,"3.6.0"
"138","shiny","\\unityfs01/fsusers$/MHogel/My Documents/R/win-library/3.6","1.3.2",NA,"3.6.0"
"139","shinyFiles","\\unityfs01/fsusers$/MHogel/My Documents/R/win-library/3.6","0.7.3",NA,"3.6.0"
"140","sigr","\\unityfs01/fsusers$/MHogel/My Documents/R/win-library/3.6","1.0.5",NA,"3.6.0"
"141","sourcetools","\\unityfs01/fsusers$/MHogel/My Documents/R/win-library/3.6","0.1.7",NA,"3.6.0"
"142","spam","\\unityfs01/fsusers$/MHogel/My Documents/R/win-library/3.6","2.2-2",NA,"3.6.0"
"143","SQUAREM","\\unityfs01/fsusers$/MHogel/My Documents/R/win-library/3.6","2017.10-1",NA,"3.6.0"
"144","stringi","\\unityfs01/fsusers$/MHogel/My Documents/R/win-library/3.6","1.4.3",NA,"3.6.0"
"145","stringr","\\unityfs01/fsusers$/MHogel/My Documents/R/win-library/3.6","1.4.0",NA,"3.6.0"
"146","sys","\\unityfs01/fsusers$/MHogel/My Documents/R/win-library/3.6","3.2",NA,"3.6.0"
"147","TH.data","\\unityfs01/fsusers$/MHogel/My Documents/R/win-library/3.6","1.0-10",NA,"3.6.1"
"148","tibble","\\unityfs01/fsusers$/MHogel/My Documents/R/win-library/3.6","2.1.1",NA,"3.6.0"
"149","tidyr","\\unityfs01/fsusers$/MHogel/My Documents/R/win-library/3.6","1.0.0",NA,"3.6.1"
"150","tidyselect","\\unityfs01/fsusers$/MHogel/My Documents/R/win-library/3.6","0.2.5",NA,"3.6.0"
"151","tidyverse","\\unityfs01/fsusers$/MHogel/My Documents/R/win-library/3.6","1.2.1",NA,"3.6.1"
"152","timeDate","\\unityfs01/fsusers$/MHogel/My Documents/R/win-library/3.6","3043.102",NA,"3.6.0"
"153","tinytex","\\unityfs01/fsusers$/MHogel/My Documents/R/win-library/3.6","0.13",NA,"3.6.0"
"154","TTR","\\unityfs01/fsusers$/MHogel/My Documents/R/win-library/3.6","0.23-4",NA,"3.6.0"
"155","usethis","\\unityfs01/fsusers$/MHogel/My Documents/R/win-library/3.6","1.5.1",NA,"3.6.2"
"156","utf8","\\unityfs01/fsusers$/MHogel/My Documents/R/win-library/3.6","1.1.4",NA,"3.6.0"
"157","vctrs","\\unityfs01/fsusers$/MHogel/My Documents/R/win-library/3.6","0.2.0",NA,"3.6.1"
"158","viridisLite","\\unityfs01/fsusers$/MHogel/My Documents/R/win-library/3.6","0.3.0",NA,"3.6.0"
"159","webshot","\\unityfs01/fsusers$/MHogel/My Documents/R/win-library/3.6","0.5.1",NA,"3.6.0"
"160","whisker","\\unityfs01/fsusers$/MHogel/My Documents/R/win-library/3.6","0.3-2",NA,"3.6.0"
"161","withr","\\unityfs01/fsusers$/MHogel/My Documents/R/win-library/3.6","2.1.2",NA,"3.6.0"
"162","WVPlots","\\unityfs01/fsusers$/MHogel/My Documents/R/win-library/3.6","1.1.0",NA,"3.6.0"
"163","xfun","\\unityfs01/fsusers$/MHogel/My Documents/R/win-library/3.6","0.7",NA,"3.6.0"
"164","xml2","\\unityfs01/fsusers$/MHogel/My Documents/R/win-library/3.6","1.2.0",NA,"3.6.0"
"165","xtable","\\unityfs01/fsusers$/MHogel/My Documents/R/win-library/3.6","1.8-4",NA,"3.6.0"
"166","xts","\\unityfs01/fsusers$/MHogel/My Documents/R/win-library/3.6","0.11-2",NA,"3.6.0"
"167","yaml","\\unityfs01/fsusers$/MHogel/My Documents/R/win-library/3.6","2.2.0",NA,"3.6.0"
"168","zeallot","\\unityfs01/fsusers$/MHogel/My Documents/R/win-library/3.6","0.1.0",NA,"3.6.0"
"169","zip","\\unityfs01/fsusers$/MHogel/My Documents/R/win-library/3.6","2.0.2",NA,"3.6.0"
"170","zoo","\\unityfs01/fsusers$/MHogel/My Documents/R/win-library/3.6","1.8-5",NA,"3.6.0"
"171","base","C:/Program Files/R/R-3.6.0/library","3.6.0","base","3.6.0"
"172","boot","C:/Program Files/R/R-3.6.0/library","1.3-22","recommended","3.6.0"
"173","class","C:/Program Files/R/R-3.6.0/library","7.3-15","recommended","3.6.0"
"174","cluster","C:/Program Files/R/R-3.6.0/library","2.0.8","recommended","3.6.0"
"175","codetools","C:/Program Files/R/R-3.6.0/library","0.2-16","recommended","3.6.0"
"176","compiler","C:/Program Files/R/R-3.6.0/library","3.6.0","base","3.6.0"
"177","datasets","C:/Program Files/R/R-3.6.0/library","3.6.0","base","3.6.0"
"178","foreign","C:/Program Files/R/R-3.6.0/library","0.8-71","recommended","3.6.0"
"179","graphics","C:/Program Files/R/R-3.6.0/library","3.6.0","base","3.6.0"
"180","grDevices","C:/Program Files/R/R-3.6.0/library","3.6.0","base","3.6.0"
"181","grid","C:/Program Files/R/R-3.6.0/library","3.6.0","base","3.6.0"
"182","KernSmooth","C:/Program Files/R/R-3.6.0/library","2.23-15","recommended","3.6.0"
"183","lattice","C:/Program Files/R/R-3.6.0/library","0.20-38","recommended","3.6.0"
"184","MASS","C:/Program Files/R/R-3.6.0/library","7.3-51.4","recommended","3.6.0"
"185","Matrix","C:/Program Files/R/R-3.6.0/library","1.2-17","recommended","3.6.0"
"186","methods","C:/Program Files/R/R-3.6.0/library","3.6.0","base","3.6.0"
"187","mgcv","C:/Program Files/R/R-3.6.0/library","1.8-28","recommended","3.6.0"
"188","nlme","C:/Program Files/R/R-3.6.0/library","3.1-139","recommended","3.6.0"
"189","nnet","C:/Program Files/R/R-3.6.0/library","7.3-12","recommended","3.6.0"
"190","parallel","C:/Program Files/R/R-3.6.0/library","3.6.0","base","3.6.0"
"191","rpart","C:/Program Files/R/R-3.6.0/library","4.1-15","recommended","3.6.0"
"192","spatial","C:/Program Files/R/R-3.6.0/library","7.3-11","recommended","3.6.0"
"193","splines","C:/Program Files/R/R-3.6.0/library","3.6.0","base","3.6.0"
"194","stats","C:/Program Files/R/R-3.6.0/library","3.6.0","base","3.6.0"
"195","stats4","C:/Program Files/R/R-3.6.0/library","3.6.0","base","3.6.0"
"196","survival","C:/Program Files/R/R-3.6.0/library","2.44-1.1","recommended","3.6.0"
"197","tcltk","C:/Program Files/R/R-3.6.0/library","3.6.0","base","3.6.0"
"198","tools","C:/Program Files/R/R-3.6.0/library","3.6.0","base","3.6.0"
"199","translations","C:/Program Files/R/R-3.6.0/library","3.6.0",NA,"3.6.0"
"200","utils","C:/Program Files/R/R-3.6.0/library","3.6.0","base","3.6.0"
